ID;TotalTests;Skipped;Prefix;Approx;BatchCount;Level;Original: Length;Reduced: Length;Total Reduction %: Length;Original: Primary;Reduced: Primary;Total Reduction %: Primary;Original: Secondary;Reduced: Secondary;Total Reduction %: Secondary;Runtime;Average Test Runtime
be59;0;0;1;0;1;2;58.000000;58.000000;100.000000;51.000000;51.000000;100.000000;0.000000;0.000000;-nan;                  195μs 925ns;                          0ns
be5a;0;0;1;0;1;2;52.000000;52.000000;100.000000;47.000000;47.000000;100.000000;0.000000;0.000000;-nan;                  100μs 530ns;                          0ns
be5c;1;0;5;0;2;3;54.000000;54.000000;100.000000;50.000000;50.000000;100.000000;0.000000;0.000000;-nan;              4ms 490μs 380ns;                          0ns
be5e;0;0;1;0;1;2;55.000000;55.000000;100.000000;49.000000;49.000000;100.000000;0.000000;0.000000;-nan;                   60μs 244ns;                          0ns
be64;0;0;1;0;1;2;54.000000;54.000000;100.000000;48.000000;48.000000;100.000000;0.000000;0.000000;-nan;                  109μs  32ns;                          0ns
17e5d;0;0;1;0;1;2;55.000000;55.000000;100.000000;48.000000;48.000000;100.000000;0.000000;0.000000;-nan;                  367μs  28ns;                          0ns
17e5e;2;0;10;0;3;5;57.000000;57.000000;100.000000;50.000000;50.000000;100.000000;0.000000;0.000000;-nan;              6ms 101μs  12ns;                          0ns
17e60;0;0;1;0;1;2;57.000000;57.000000;100.000000;49.000000;49.000000;100.000000;0.000000;0.000000;-nan;                  196μs 527ns;                          0ns
17e68;0;0;1;0;1;2;59.000000;59.000000;100.000000;51.000000;51.000000;100.000000;0.000000;0.000000;-nan;                   91μs 581ns;                          0ns
17e6e;0;0;1;0;1;2;54.000000;54.000000;100.000000;47.000000;47.000000;100.000000;0.000000;0.000000;-nan;                  127μs 646ns;                          0ns
bfc2d;0;0;1;0;1;2;66.000000;66.000000;100.000000;62.000000;62.000000;100.000000;0.000000;0.000000;-nan;                  192μs 341ns;                          0ns
bfc2e;0;0;1;0;1;2;70.000000;70.000000;100.000000;65.000000;65.000000;100.000000;0.000000;0.000000;-nan;                  141μs 211ns;                          0ns
bfc30;0;0;1;0;1;2;67.000000;67.000000;100.000000;64.000000;64.000000;100.000000;0.000000;0.000000;-nan;                   60μs 449ns;                          0ns
bfc32;0;0;1;0;1;2;66.000000;66.000000;100.000000;63.000000;63.000000;100.000000;0.000000;0.000000;-nan;                   56μs 216ns;                          0ns
bfc34;0;0;1;0;1;2;67.000000;67.000000;100.000000;61.000000;61.000000;100.000000;0.000000;0.000000;-nan;                   99μs 465ns;                          0ns
bf22b;1;0;5;0;2;3;68.000000;68.000000;100.000000;62.000000;62.000000;100.000000;0.000000;0.000000;-nan;              6ms 243μs 426ns;                          0ns
bf22c;0;0;1;0;1;2;66.000000;66.000000;100.000000;63.000000;63.000000;100.000000;0.000000;0.000000;-nan;                  138μs 181ns;                          0ns
bf232;0;0;1;0;1;2;63.000000;63.000000;100.000000;59.000000;59.000000;100.000000;0.000000;0.000000;-nan;                   86μs 619ns;                          0ns
bf234;0;0;1;0;1;2;64.000000;64.000000;100.000000;61.000000;61.000000;100.000000;0.000000;0.000000;-nan;                   87μs 408ns;                          0ns
bf236;0;0;1;0;1;2;64.000000;64.000000;100.000000;60.000000;60.000000;100.000000;0.000000;0.000000;-nan;                  154μs 244ns;                          0ns
b0c9;0;0;1;0;1;2;53.000000;53.000000;100.000000;49.000000;49.000000;100.000000;0.000000;0.000000;-nan;                   88μs   7ns;                          0ns
b0ca;0;0;1;0;1;2;51.000000;51.000000;100.000000;48.000000;48.000000;100.000000;0.000000;0.000000;-nan;                   88μs 830ns;                          0ns
b0cc;0;0;1;0;1;2;56.000000;56.000000;100.000000;51.000000;51.000000;100.000000;0.000000;0.000000;-nan;                   65μs 929ns;                          0ns
b0ce;1;0;5;0;2;3;54.000000;54.000000;100.000000;50.000000;50.000000;100.000000;0.000000;0.000000;-nan;              3ms 776μs 779ns;                          0ns
b0d0;2;0;3;0;2;4;52.000000;52.000000;100.000000;47.000000;47.000000;100.000000;0.000000;0.000000;-nan;              8ms 281μs 280ns;                          0ns
6af34;3;0;9;0;3;5;57.000000;57.000000;100.000000;48.000000;48.000000;100.000000;0.000000;0.000000;-nan;             15ms 968μs 983ns;                          0ns
6af3a;0;0;1;0;1;2;62.000000;62.000000;100.000000;51.000000;51.000000;100.000000;0.000000;0.000000;-nan;                  119μs 451ns;                          0ns
6af2b;1;0;5;0;2;3;58.000000;58.000000;100.000000;49.000000;49.000000;100.000000;0.000000;0.000000;-nan;              6ms 731μs 836ns;                          0ns
6af2c;4;0;11;0;3;7;58.000000;58.000000;100.000000;50.000000;50.000000;100.000000;0.000000;0.000000;-nan;             12ms 630μs 751ns;                          0ns
6af30;2;0;4;0;2;3;56.000000;56.000000;100.000000;47.000000;47.000000;100.000000;0.000000;0.000000;-nan;              8ms 872μs 166ns;                          0ns
b2cb5;2;0;4;0;2;4;58.000000;58.000000;100.000000;51.000000;51.000000;100.000000;0.000000;0.000000;-nan;             14ms 699μs 766ns;                          0ns
b2cb6;1;0;1;0;1;2;54.000000;54.000000;100.000000;48.000000;48.000000;100.000000;0.000000;0.000000;-nan;              5ms 220μs 210ns;                          0ns
b2cb8;1;0;1;0;1;2;56.000000;56.000000;100.000000;50.000000;50.000000;100.000000;0.000000;0.000000;-nan;              8ms 164μs 107ns;                          0ns
b2cb9;13;0;11;0;4;9;60.000000;60.000000;100.000000;47.000000;47.000000;100.000000;0.000000;0.000000;-nan;             29ms 997μs  25ns;                          0ns
b2cbe;2;0;0;0;2;2;58.000000;57.000000;98.275862;50.000000;50.000000;102.040816;0.000000;0.000000;-nan;              9ms 918μs 322ns;              6ms 110μs 226ns
be6be;0;0;1;0;1;2;63.000000;63.000000;100.000000;60.000000;60.000000;100.000000;0.000000;0.000000;-nan;                  167μs 979ns;                          0ns
be6bf;0;0;1;0;1;2;62.000000;62.000000;100.000000;57.000000;57.000000;100.000000;0.000000;0.000000;-nan;                   60μs 695ns;                          0ns
be6c1;0;0;1;0;1;2;61.000000;61.000000;100.000000;58.000000;58.000000;100.000000;0.000000;0.000000;-nan;                   69μs 123ns;                          0ns
be6c3;0;0;1;0;1;2;63.000000;63.000000;100.000000;56.000000;56.000000;100.000000;0.000000;0.000000;-nan;                   72μs 211ns;                          0ns
be6c5;0;0;1;0;1;2;62.000000;62.000000;100.000000;59.000000;59.000000;100.000000;0.000000;0.000000;-nan;                   63μs  37ns;                          0ns
a5c0;0;0;1;0;1;2;55.000000;55.000000;100.000000;50.000000;50.000000;100.000000;0.000000;0.000000;-nan;                   90μs  31ns;                          0ns
a5c2;0;0;1;0;1;2;53.000000;53.000000;100.000000;49.000000;49.000000;100.000000;0.000000;0.000000;-nan;                   66μs 645ns;                          0ns
a5b7;1;0;5;0;2;3;52.000000;52.000000;100.000000;47.000000;47.000000;100.000000;0.000000;0.000000;-nan;              3ms 821μs 634ns;                          0ns
a5b8;0;0;1;0;1;2;57.000000;57.000000;100.000000;51.000000;51.000000;100.000000;0.000000;0.000000;-nan;                   61μs 132ns;                          0ns
a5bc;0;0;1;0;1;2;51.000000;51.000000;100.000000;48.000000;48.000000;100.000000;0.000000;0.000000;-nan;                   66μs 459ns;                          0ns
3a375;0;0;6;0;2;3;52.000000;52.000000;100.000000;47.000000;47.000000;100.000000;0.000000;0.000000;-nan;                  274μs 446ns;                          0ns
3a376;0;0;1;0;1;2;60.000000;60.000000;100.000000;51.000000;51.000000;100.000000;0.000000;0.000000;-nan;                   59μs  20ns;                          0ns
3a37d;1;0;5;0;2;3;55.000000;55.000000;100.000000;49.000000;49.000000;100.000000;0.000000;0.000000;-nan;              5ms 497μs 849ns;                          0ns
3a37f;0;0;1;0;1;2;58.000000;58.000000;100.000000;50.000000;50.000000;100.000000;0.000000;0.000000;-nan;                  414μs 999ns;                          0ns
3a383;1;0;5;0;2;3;52.000000;52.000000;100.000000;48.000000;48.000000;100.000000;0.000000;0.000000;-nan;              5ms 265μs 183ns;                          0ns
46184;0;0;1;0;1;2;57.000000;57.000000;100.000000;49.000000;49.000000;100.000000;0.000000;0.000000;-nan;                  160μs 876ns;                          0ns
