ID;Parent ID;Generation ID;Derived Inputs;Derived Fails;Flags;Generation Time;Generation Length;Trimmed Length;Execution Time;Primary Score;Relative Primary Score;Secondary Score;Relative Secondary Score;Exit Code;Exit Reason;Result;Individual Primary;Individual Secondary;Retries;Test Number
554;47c;518;0;0;0000000000000038;            684ms 794μs 884ns;295;289;             18ms 434μs 991ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;421
59d;3bf;518;0;0;0000000000000038;            689ms 265μs 558ns;277;234;             15ms 593μs 100ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;447
5af;47c;518;0;0;0000000000000038;            691ms 216μs 471ns;273;234;             15ms 436μs 571ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;454
63c;554;518;0;0;0000000000000080;            812ms  13μs 162ns;217;-1;             14ms 189μs 277ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;458
638;554;518;0;0;0000000000000080;            811ms 965μs 782ns;217;-1;             13ms 560μs 256ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;460
65a;59d;518;0;0;0000000000000080;            836ms 203μs 322ns;117;-1;              7ms 695μs  95ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;464
657;59d;518;0;0;4000000000000080;            836ms 142μs 192ns;117;-1;              8ms 338μs  84ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;467
6a2;554;518;0;0;0000000000000080;            885ms 291μs 274ns;145;-1;              9ms 697μs 955ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;484
6ba;5af;518;0;0;0000000000000080;            893ms 776μs 682ns;176;-1;             11ms 574μs  65ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;494
70a;59d;518;0;0;0000000000000080;            946ms 540μs 955ns;88;-1;              5ms 702μs 752ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;516
776;5af;518;0;0;0000000000000080;         1s   3ms 418μs 804ns;147;-1;             10ms 432μs 257ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;542
777;5af;518;0;0;0000000000000080;         1s   3ms 413μs 664ns;147;-1;             10ms 454μs 412ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;543
76e;5af;518;0;0;0000000000000080;         1s   3ms 289μs 325ns;147;-1;             10ms 387μs 841ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;545
7b4;5af;518;0;0;0000000000000080;         1s  57ms 680μs 830ns;118;-1;              7ms 958μs 750ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;568
7b0;5af;518;0;0;0000000000000080;         1s  57ms 627μs 508ns;118;-1;              8ms 753μs 663ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;571
7d6;59d;518;0;0;0000000000000080;         1s  63ms 342μs 527ns;74;-1;              5ms  61μs 788ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;573
7d1;59d;518;0;0;0000000000000080;         1s  63ms 300μs 851ns;74;-1;              5ms 403μs 399ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;574
808;554;518;0;0;0000000000000080;         1s  66ms  64μs   6ns;127;-1;              8ms 702μs 958ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;575
806;554;518;0;0;0000000000000080;         1s  66ms  46μs 970ns;127;-1;              8ms 520μs 611ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;577
7f7;554;518;0;0;0000000000000080;         1s  65ms 880μs 308ns;127;-1;              7ms 486μs 891ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;587
83e;554;518;0;0;0000000000000080;         1s 113ms 372μs  31ns;109;-1;              8ms 425μs 506ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;600
83f;554;518;0;0;0000000000000080;         1s 113ms 365μs 261ns;109;-1;              7ms 980μs 861ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;602
873;59d;518;0;0;0000000000000080;         1s 117ms 452μs 112ns;60;-1;              3ms 514μs 786ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;612
857;5af;518;0;0;0000000000000080;         1s 116ms 623μs 987ns;89;-1;              6ms 984μs 622ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;616
8bb;554;518;0;0;0000000000000080;         1s 148ms  13μs 189ns;91;-1;              6ms 490μs 936ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;629
94d;59d;518;0;0;0000000000000080;         1s 192ms  12μs  71ns;53;-1;              4ms 231μs 270ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;665
94f;59d;518;0;0;0000000000000080;         1s 192ms   4μs 827ns;53;-1;              4ms 132μs 827ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;666
9db;554;518;0;0;0000000000000080;         1s 235ms 295μs 463ns;82;-1;              6ms  83μs 150ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;693
9cc;554;518;0;0;0000000000000080;         1s 235ms 150μs 844ns;82;-1;              6ms 471μs 591ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;700
a15;5af;518;0;0;0000000000000080;         1s 239ms 240μs 294ns;82;-1;              6ms 182μs 972ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;705
a12;5af;518;0;0;0000000000000080;         1s 239ms 230μs 861ns;82;-1;              5ms 709μs 126ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;706
a03;5af;518;0;0;0000000000000080;         1s 239ms 132μs 910ns;82;-1;              5ms 895μs 737ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;711
a06;5af;518;0;0;0000000000000080;         1s 239ms 107μs 593ns;82;-1;              5ms 641μs 551ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;712
9c1;554;518;0;0;0000000000000080;         1s 235ms  83μs 409ns;82;-1;              4ms 805μs 356ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;730
a5a;5af;518;0;0;0000000000000080;         1s 288ms 586μs 537ns;75;-1;              5ms  11μs 423ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;747
a57;5af;518;0;0;0000000000000080;         1s 288ms 529μs 246ns;75;-1;              4ms 853μs 229ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;748
aa0;554;518;0;0;0000000000000080;         1s 294ms 387μs 641ns;73;-1;              4ms 834μs 913ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;753
a94;554;518;0;0;4000000000000080;         1s 294ms 285μs  83ns;73;-1;              5ms  64μs 787ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;757
b76;59d;518;0;0;0000000000000080;         1s 321ms 215μs 494ns;50;-1;              4ms 279μs 282ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;778
b6f;59d;518;0;0;0000000000000080;         1s 321ms 168μs 441ns;50;-1;              4ms 361μs 372ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;780
b6d;59d;518;0;0;0000000000000080;         1s 321ms 162μs 640ns;50;-1;              3ms 389μs 364ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;781
b57;59d;518;0;0;0000000000000080;         1s 321ms  37μs 844ns;50;-1;              3ms 544μs 547ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;788
b50;59d;518;0;0;0000000000000080;         1s 321ms   4μs   1ns;50;-1;              3ms 654μs 635ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;791
b4e;59d;518;0;0;0000000000000080;         1s 320ms 998μs 636ns;50;-1;              3ms 342μs 820ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;792
b03;554;518;0;0;0000000000000080;         1s 318ms 467μs 566ns;64;-1;              4ms 835μs 950ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;809
bd8;59d;518;0;0;0000000000000080;         1s 353ms 844μs 754ns;47;-1;              3ms 916μs 178ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;813
bd4;59d;518;0;0;0000000000000080;         1s 353ms 831μs 302ns;47;-1;              3ms 207μs 686ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;815
bce;59d;518;0;0;0000000000000080;         1s 353ms 796μs  87ns;47;-1;              3ms 853μs  71ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;817
bb9;59d;518;0;0;0000000000000080;         1s 353ms 711μs 326ns;47;-1;              3ms 817μs 769ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;822
bb4;59d;518;0;0;4000000000000080;         1s 353ms 654μs 358ns;47;-1;              3ms 708μs   4ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;832
c9b;5af;518;0;0;0000000000000080;         1s 377ms 575μs 732ns;72;70;              5ms 829μs 761ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;846
d53;554;518;0;0;0000000000000080;         1s 380ms 881μs  63ns;60;-1;              4ms 471μs 336ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;852
d4a;554;518;0;0;0000000000000080;         1s 380ms 817μs 468ns;60;-1;              4ms 144μs 962ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;855
d43;554;518;0;0;0000000000000080;         1s 380ms 763μs 412ns;60;-1;              4ms 644μs 682ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;856
cea;59d;518;0;0;0000000000000080;         1s 380ms 149μs 365ns;44;-1;              2ms 308μs 209ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;885
cd7;59d;518;0;0;0000000000000080;         1s 380ms  46μs 169ns;44;-1;              3ms 153μs 193ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;891
cd1;59d;518;0;0;0000000000000080;         1s 379ms 997μs 701ns;44;-1;              3ms 790μs  92ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;893
dcd;554;518;0;0;0000000000000080;         1s 440ms 435μs 819ns;56;-1;              4ms 288μs 308ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;897
dc3;554;518;0;0;0000000000000080;         1s 440ms 383μs 766ns;56;-1;              3ms 677μs 534ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;901
c93;5af;518;0;0;0000000000000080;         1s 377ms 477μs 624ns;72;-1;              5ms 164μs 138ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;912
c92;5af;518;0;0;0000000000000080;         1s 377ms 465μs 890ns;72;-1;              5ms 162μs 274ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;913
c80;5af;518;0;0;0000000000000080;         1s 377ms 339μs 572ns;72;-1;              5ms  18μs 805ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;919
e69;554;518;0;0;0000000000000080;         1s 465ms 129μs 648ns;52;-1;              3ms 975μs 911ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;926
e67;554;518;0;0;0000000000000080;         1s 465ms 104μs  40ns;52;51;              4ms 142μs 314ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;927
e60;554;518;0;0;0000000000000080;         1s 465ms  60μs 575ns;52;-1;              4ms 123μs 188ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;928
e58;554;518;0;0;0000000000000080;         1s 465ms       552ns;52;-1;              3ms 882μs 273ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;931
dfc;59d;518;0;0;0000000000000080;         1s 461ms 541μs 207ns;40;-1;              3ms  35μs 183ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;944
eb5;554;518;0;0;0000000000000080;         1s 493ms 381μs 496ns;48;-1;              3ms 655μs 535ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;954
c71;5af;518;0;0;0000000000000080;         1s 377ms  61μs 669ns;72;-1;              5ms  15μs 474ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;971
c67;5af;518;0;0;0000000000000080;         1s 376ms 984μs 872ns;72;-1;              5ms 168μs 547ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;973
c5a;5af;518;0;0;0000000000000080;         1s 376ms 912μs 349ns;72;-1;              5ms 151μs 709ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;978
c5c;5af;518;0;0;0000000000000080;         1s 376ms 857μs 510ns;72;-1;              4ms 595μs 109ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;980
f8d;59d;518;0;0;0000000000000080;         1s 531ms 820μs  88ns;38;-1;              3ms 181μs 598ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;1018
f7e;59d;518;0;0;0000000000000080;         1s 531ms 771μs 307ns;38;-1;              1ms  70μs 101ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;1021
108f;59d;518;0;0;0000000000000080;         1s 557ms 369μs 347ns;36;-1;              2ms 609μs 917ns;0.000000;inf;0.000000;inf;0;1;Passing;;;0;1059
